Collection ID,Item Name,Category,Subcategory,Franchise,Series,Character,Card Number,Manufacturer,Release Year,Country,Condition,Quantity,Asking Price,Fair Value,Availability,Featured,Sealed,Rare,Description,Tags,Notes,Cover Image,Front Image,Back Image,Extra Images
NB57-0001,Dragonite Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Dragonite,#149,Cheetos India,2002,India,Heavy Played,1,350,250,Available,,,,Vintage Dragonite promotional flip card.,"Pokemon,Dragonite,Vintage,Cheetos",,,,,
NB57-0002,Pikachu Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Pikachu,#025,Cheetos India,2002,India,Played,1,450,300,Available,,,,Vintage Pikachu promotional flip card.,"Pokemon,Pikachu,Vintage,Cheetos",,,,,
NB57-0003,Raichu Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Raichu,#026,Cheetos India,2002,India,Played,1,300,200,Available,,,,Vintage Raichu promotional flip card.,"Pokemon,Raichu,Vintage,Cheetos",,,,,
NB57-0004,Magnemite Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Magnemite,#081,Cheetos India,2002,India,Played,1,150,125,Available,,,,Vintage Magnemite promotional flip card.,"Pokemon,Magnemite,Vintage,Cheetos",,,,,
NB57-0005,Electrode Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Electrode,#101,Cheetos India,2002,India,Played,1,150,125,Available,,,,Vintage Electrode promotional flip card.,"Pokemon,Electrode,Vintage,Cheetos",,,,,
NB57-0006,Ditto Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Ditto,#132,Cheetos India,2002,India,Played,1,250,175,Available,,,,Vintage Ditto promotional flip card.,"Pokemon,Ditto,Vintage,Cheetos",,,,,
NB57-0007,Tauros Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Tauros,#128,Cheetos India,2002,India,Played,1,200,150,Available,,,,Vintage Tauros promotional flip card.,"Pokemon,Tauros,Vintage,Cheetos",,,,,
NB57-0008,Lickitung Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Lickitung,#108,Cheetos India,2002,India,Heavy Played,1,150,100,Available,,,,Vintage Lickitung promotional flip card.,"Pokemon,Lickitung,Vintage,Cheetos",,,,,
NB57-0009,Togepi Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Togepi,#175,Cheetos India,2002,India,Played,1,300,225,Available,,,,Vintage Togepi promotional flip card.,"Pokemon,Togepi,Vintage,Cheetos",,,,,
NB57-0010,Scyther Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Scyther,#123,Cheetos India,2002,India,Played,1,250,200,Available,,,,Vintage Scyther promotional flip card.,"Pokemon,Scyther,Vintage,Cheetos",,,,,
NB57-0011,Beedrill Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Beedrill,#015,Cheetos India,2002,India,Played,1,150,125,Available,,,,Vintage Beedrill promotional flip card.,"Pokemon,Beedrill,Vintage,Cheetos",,,,,
NB57-0012,Tangela Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Tangela,#114,Cheetos India,2002,India,Heavy Played,1,120,100,Available,,,,Vintage Tangela promotional flip card.,"Pokemon,Tangela,Vintage,Cheetos",,,,,
NB57-0013,Exeggcute Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Exeggcute,#102,Cheetos India,2002,India,Heavy Played,1,120,100,Available,,,,Vintage Exeggcute promotional flip card.,"Pokemon,Exeggcute,Vintage,Cheetos",,,,,
NB57-0014,Articuno Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Articuno,#144,Cheetos India,2002,India,Heavy Played,1,350,250,Available,,,,Vintage Articuno promotional flip card.,"Pokemon,Articuno,Vintage,Cheetos",,,,,
NB57-0015,Gyarados Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Gyarados,#130,Cheetos India,2002,India,Played,1,350,250,Available,,,,Vintage Gyarados promotional flip card.,"Pokemon,Gyarados,Vintage,Cheetos",,,,,
NB57-0016,Magikarp Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Magikarp,#129,Cheetos India,2002,India,Played,1,150,100,Available,,,,Vintage Magikarp promotional flip card.,"Pokemon,Magikarp,Vintage,Cheetos",,,,,
NB57-0017,Krabby Flip Card,Pokemon,Flip Card,Pokemon,Cheetos Pokemon Jenga,Krabby,#098,Cheetos India,2002,India,Played,1,120,100,Available,,,,Vintage Krabby promotional flip card.,"Pokemon,Krabby,Vintage,Cheetos",,,,,
